Designator,Mid X,Mid Y,Rotation,Layer
C1,111.000000mm,-19.000000mm,0.000000,Top
C2,145.000000mm,-19.000000mm,0.000000,Top
C3,115.500000mm,-22.500000mm,0.000000,Top
C4,140.500000mm,-22.500000mm,0.000000,Top
C5,65.500000mm,-16.500000mm,0.000000,Top
C6,36.000000mm,-15.500000mm,0.000000,Top
C7,40.000000mm,-28.000000mm,0.000000,Top
C8,126.000000mm,-72.000000mm,0.000000,Top
C9,100.500000mm,-56.000000mm,0.000000,Top
C10,115.500000mm,-19.000000mm,0.000000,Top
C11,120.000000mm,-19.000000mm,0.000000,Top
C12,136.000000mm,-19.000000mm,0.000000,Top
C13,124.500000mm,-19.000000mm,0.000000,Top
C14,140.500000mm,-19.000000mm,0.000000,Top
C15,96.000000mm,-49.000000mm,0.000000,Top
C16,100.500000mm,-49.000000mm,0.000000,Top
C17,105.000000mm,-49.000000mm,0.000000,Top
C18,109.500000mm,-49.000000mm,0.000000,Top
C19,126.000000mm,-51.000000mm,0.000000,Top
C20,130.500000mm,-51.000000mm,0.000000,Top
C21,135.000000mm,-51.000000mm,0.000000,Top
C22,139.500000mm,-51.000000mm,0.000000,Top
C23,149.500000mm,-19.000000mm,0.000000,Top
C24,114.000000mm,-49.000000mm,0.000000,Top
C25,96.000000mm,-52.500000mm,0.000000,Top
C26,61.000000mm,-13.000000mm,0.000000,Top
C27,100.500000mm,-52.500000mm,0.000000,Top
C28,111.000000mm,-22.500000mm,0.000000,Top
C29,154.000000mm,-19.000000mm,0.000000,Top
C30,105.000000mm,-52.500000mm,0.000000,Top
C31,96.000000mm,-64.500000mm,0.000000,Top
C32,96.000000mm,-75.000000mm,0.000000,Top
C33,126.000000mm,-54.500000mm,0.000000,Top
C34,126.000000mm,-68.500000mm,0.000000,Top
C35,40.000000mm,-24.500000mm,0.000000,Top
C36,36.000000mm,-12.000000mm,0.000000,Top
C37,120.000000mm,-22.500000mm,0.000000,Top
C38,136.000000mm,-22.500000mm,0.000000,Top
C39,109.500000mm,-52.500000mm,0.000000,Top
C40,65.500000mm,-13.000000mm,0.000000,Top
C41,40.500000mm,-12.000000mm,0.000000,Top
C42,124.500000mm,-22.500000mm,0.000000,Top
C43,145.000000mm,-22.500000mm,0.000000,Top
C44,114.000000mm,-52.500000mm,0.000000,Top
C45,61.000000mm,-16.500000mm,0.000000,Top
C46,111.000000mm,-26.000000mm,0.000000,Top
C47,149.500000mm,-22.500000mm,0.000000,Top
C48,96.000000mm,-56.000000mm,0.000000,Top
C49,100.500000mm,-64.500000mm,0.000000,Top
C50,100.500000mm,-75.000000mm,0.000000,Top
C51,130.500000mm,-54.500000mm,0.000000,Top
C52,130.500000mm,-68.500000mm,0.000000,Top
C53,44.500000mm,-24.500000mm,0.000000,Top
D1,42.000000mm,-15.000000mm,0.000000,Top
D2,27.000000mm,-12.000000mm,0.000000,Top
FB1,84.000000mm,-42.000000mm,0.000000,Top
R1,105.000000mm,-56.000000mm,0.000000,Top
R2,109.500000mm,-56.000000mm,0.000000,Top
R3,154.000000mm,-22.500000mm,0.000000,Top
R4,22.000000mm,-13.500000mm,0.000000,Top
R5,26.500000mm,-13.500000mm,0.000000,Top
R6,100.500000mm,-78.500000mm,0.000000,Top
R7,105.000000mm,-78.500000mm,0.000000,Top
R8,33.000000mm,-12.000000mm,0.000000,Top
R9,159.000000mm,-74.000000mm,0.000000,Top
R10,159.000000mm,-82.000000mm,0.000000,Top
R11,40.500000mm,-15.500000mm,0.000000,Top
R12,135.000000mm,-54.500000mm,0.000000,Top
R13,139.500000mm,-54.500000mm,0.000000,Top
R14,160.000000mm,-23.000000mm,0.000000,Top
R15,155.500000mm,-23.000000mm,0.000000,Top
R16,151.000000mm,-23.000000mm,0.000000,Top
R17,160.000000mm,-26.500000mm,0.000000,Top
R18,155.500000mm,-26.500000mm,0.000000,Top
R19,105.000000mm,-75.000000mm,0.000000,Top
R20,96.000000mm,-78.500000mm,0.000000,Top
R21,151.000000mm,-26.500000mm,0.000000,Top
R22,78.000000mm,-74.000000mm,0.000000,Top
R23,36.000000mm,-19.000000mm,0.000000,Top
R24,86.000000mm,-40.000000mm,0.000000,Top
U1,105.000000mm,-22.000000mm,0.000000,Top
U2,130.000000mm,-22.000000mm,0.000000,Top
U3,34.000000mm,-26.000000mm,0.000000,Top
U4,30.000000mm,-15.000000mm,0.000000,Top
U5,90.000000mm,-52.000000mm,0.000000,Top
U6,55.000000mm,-16.000000mm,0.000000,Top
U7,120.000000mm,-54.000000mm,0.000000,Top
U8,120.000000mm,-70.000000mm,0.000000,Top
U9,90.000000mm,-66.000000mm,0.000000,Top
U10,90.000000mm,-78.000000mm,0.000000,Top
